NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
858,PC/GR/WR/0442L,DEKAYS PHARMACY,Wholesale/Retail,GA-370-9490 LAGOS AVENUE EAST LEGON EAST LEGON,AMA,Greater Accra
859,PC/AS/R/0119N,DEKWART PHARMACY LTD,Retail,"PLOT 1, BLOCK VIII KENEANKO ROAD, ASAWASI",ASOKORE MAMPONG,Ashanti
860,PC/VR/R/0142C,DELADEM PHARMACY LTD,Retail,"H/NO. L.2/8, K.K. HOUSE HILHA-DOME JUNCTION - HO",HO,Volta
861,PC/GR/R/0422H,DELALI G CHEMIST,Retail,H/No. 488114 OPETEKWE DANSOMAN MPOASE ACCRA,AMA,Greater Accra
862,PC/GR/WR/0020M,DELCAM PHARMACEUTICALS LIMI,WEDholesale/Retail,LVD 23515A/2014 B MENSAH CLOSE - PANTANG,ADENTAN,Greater Accra
863,PC/GR/WR/0421L,DELDEM PHARMA LTD,Wholesale/Retail,GS-0751-6901 TAXI RANK TUBA KUWAIT KASOA IRON CITY,GA SOUTH,Greater Accra
864,PC/GR/R/0072M,DELEES PHARMACY LIMITED,Retail,GZ 079 (5.59075-01158 MANET ROAD - AGBLEZAA,LA NKWANTANANG-MADINA,Greater Accra
865,PC/ER/W/00004,DELIGHT PHARMACY LTD.,Wholesale,"H/NO. 18B NEAR OGUA CENTRAL MOSQUE KOFORIDUA
KOFORIDUA",NEW-JUABENG,Eastern
866,PC/GR/R/0412L,DELIVERY CHEMIST LIMITED,Retail,GZ-145-5477 51 BOUNDARY ROAD OKPOI GONO SPINTEX,LA NKWANTANANG-MADINA,Greater Accra
867,PC/GR/R/0047H,DELIVERY CHEMIST LIMITED,Retail,"H/NO. WBHA 15, KWAFIO ROAD KWAFIO ROAD WEST
BAATSONA SPINTEX",TMA,Greater Accra
868,PC/GR/WR/0427P,DELIVERY PLUS PHARMACY LTD,Wholesale/Retail,H/NO. TA-340 NII ATANYA HIGHWAY MARKET ASHAIMAN,ASHIAMAN,Greater Accra
869,PC/GR/W/0091B,DELMA PHARMA LTD.,Wholesale,PLOT 1D 488 ABILITY  SQUARE ADJINRINGANO ACCRA,ADENTAN,Greater Accra
870,PC/VR/WR/0008N,DELMARK PHARMACY,Wholesale/Retail,H/NO. SOGA-A110 Y JUNCTION - SOGAKOPE,SOUTH TONGU,Volta
871,PC/AS/WR/0330H,DELONIX CHEMIST LIMITED,Wholesale/Retail,"H/NO. 73/A, NEW RAMIA HOSPITAL ROAD MENSAHKROM
OBUASI",OBUASI,Ashanti
872,PC/WR/R/0015N,DELSMATS PHARMACY LTD,Retail,PLOT 37 - - ADIENTEM,SEKONDI-TAKORADI,Western
873,PC/GR/WR/00316,DELTA UNIC P'MACEUTCALS,Wholesale/Retail,"NEAR ATLANTIC RESORT HOTEL KOKROBITE RODD APRAKU
ACCRA",GA WEST,Greater Accra
874,PC/AS/R/0147B,DEMAY PHARMACY LTD.,Retail,"PLOT 27, BLOCK Q, GYINASE - KUMASI",KMA,Ashanti
875,PC/GR/R/00772,DENAKA COMMUNITY PHARMAC,Retail,"H/NO. 54, TESHIE BUKOM, ACCRA",LEDZOKUKU-KROWOR,Greater Accra
876,PC/GR/R/00282,DEPENDABLE PHARMACY LTD.,Retail,HNO. 342 NEW ROAD MADINA ACCRA,ADENTAN,Greater Accra
877,PC/GR/WR/0581K,DESH CHEMIST LTD,Wholesale/Retail,FESTUS NEAR KOBORE FUEL STATION - AMANFROM,GA SOUTH,Greater Accra
878,PC/GR/R/0040N,DESH CHEMISTS LIMITED,Retail,GW-0164-377 MARKET ROAD - ACHIMOTA,AMA,Greater Accra
879,PC/GR/W/0178P,DESH CHEMISTS LIMITED,Wholesale,GW-0046-7482 NII KPAKPO OBIPONG 1 STREET - FISE,GA WEST,Greater Accra
880,PC/CR/R/0154G,DESH CHEMISTS LTD,Retail,"H/NO. 1, OFAAKOR TAXI STATION - - KASOA",AWUTU SENYA,Central
881,PC/CR/WR/0068F,DESKAS PHARMACY LTD.,Wholesale/Retail,"2ND STORE NO.1, NEW MARKET  BAWJIASE ROAD - KASOA",AWUTU SENYA,Central
882,PC/GR/WR/0432P,DESTINY COMMAND CHEMIST,Wholesale/Retail,ZENU BLOCK 84 BOSSAH STREET PEACE LAND ASHAIMAN,ASHIAMAN,Greater Accra
883,PC/GR/R/0120H,DESTINY COMMAND CHEMIST,Retail,"H/NO. 22 RAVICO ROAD, JUNCTION MALL KPESHIE NUNGUA",LEDZOKUKU-KROWOR,Greater Accra
884,PC/GR/WR/0073E,DESTINY LINK PHARMACY LTD.,Wholesale/Retail,"WARD B, B/4, 751, KIMBERLY AVENUE OKAISHIE ACCRA",AMA,Greater Accra
885,PC/GR/R/0230K,DEVIN HEALTH LIMITED,Retail,SSNIT ROAD WEST HILLS DUNKONAH,GA SOUTH,Greater Accra
886,PC/GR/R/0201M,DEWLAND CHEMIST,Retail,H/NO. B 184/17 ALIU MAHAMA ROAD - TWENEBOAH,GA CENTRAL,Greater Accra
887,PC/GR/R/0069J,DEWLAND CHEMIST,Retail,"H/NO. B 16/16 OUTER RING ROAD SUSAN CLINIC
LATERBIOKOSHIE",GA CENTRAL,Greater Accra
888,PC/GR/R/0082H,DEYOUNG PHARMACY,Retail,H/NO. 561 PR/ND TERRAZO STREET  TEMA NEW DAWHENYA,NINGO PRAMPRAM,Greater Accra
889,PC/GR/WR/0075C,DIAGNOPHARMA LTD.,Wholesale/Retail,"H/NO. ODU/1, - - ODUMAN",GA WEST,Greater Accra
890,PC/NR/WR/0095K,DIAKO PHARMCY LIMITED,Wholesale/Retail,PLOT NO. 186 TARGET AVENUE VITTING TARGET TAMALE,TAMALE,Northern
891,PC/BA/WR/00003,DIAMONO PHARMACY,Wholesale/Retail,"H.NO. AB7 ABENIM STREET OPPOSITE MOBIL FILLING
STATION TECHIMAN",TECHIMAN,Brong Ahafo
892,PC/GR/W/0218M,DILIGIAH FOODS PHARMA LIMITE,Wholesale,38 KOMLA DUMOR AVENUE RABBIT JUNCTION HAATSO,GA EAST,Greater Accra
893,PC/GR/R/0192G,DINKAL PHARMACY,Retail,"H/NO. 14                         NII SAI ROAD, MEMPEASEM, EAST
LEGON",AMA,Greater Accra
894,PC/GR/WR/0397K,DINKUNIM PHARMACY LTD,Wholesale/Retail,"PLOT B61, WEST END UNIVERSITY COMMUNITY NGLESHIE-
AMANFROM",GA SOUTH,Greater Accra
895,PC/GR/WR/00041,DIPLOMAT PHARMACY,Wholesale/Retail,H/NO. J 1A/6 NEAR POST OFFICE NUNGUA ACCRA,LEDZOKUKU-KROWOR,Greater Accra
896,PC/AS/R/00264,DIPSY PHARMACY LTD,Retail,NTER 306 - AMAKOM BIMPEH HILL KUMASI,KMA,Ashanti
897,PC/GR/W/0203J,DIRECT PHARMACY LIMITED,Wholesale,H/NO 14 GUGGISBERG AVE KORLE GONNO ACCRA,AMA,Greater Accra
898,PC/GR/R/0346L,DIS-CHEM PHARMACY LIMITED,Retail,BIO PLAZA MAIN STREET BORN AGAIN DOME,GA EAST,Greater Accra
899,PC/BA/R/0202H,DISCRISTOS PHARMACY LTD.,Retail,"H/NO. P 6/F  MAIN ROAD OPP. MOSQUE  PENKWASE
SUNYANI",SUNYANI,Brong Ahafo
900,PC/GR/R/0100H,DIVINE HEALTHCARE,Retail,H/NO. 15 ZAYTUNA PARK ROAD BRIGADE AMANFROM ACCRA,GA SOUTH,Greater Accra
901,PC/CR/R/0152H,DIVINE HEALTHCARE PHARMACY,Retail,"H/NO. PLOT NO. 110/1B BARRIER NEW ROAD  KASOA
BUDUBRUM",GOMOA EAST,Central
902,PC/GR/R/00575,DIVINE LIGHT PHARMACY,Retail,"H/NO. 399/8, PEREGRINO STREET, ABBOSEY OKAI ACCRA",AMA,Greater Accra
903,PC/GR/R/0248K,DIXXONS PHARMACY LIMITED,Retail,PLOT 978 MENSAH WOOD STREET - EAST LEGON,LA DEDE-KOTOPON,Greater Accra
904,PC/AS/WR/0651L,DK PHARMCY LTD,Wholesale/Retail,"H/NO. NE 16, PLOT 13 - MANHYIA EXTENSION DICHEMSO",KMA,Ashanti
905,PC/CR/WR/0031D,DM SPHERE,Wholesale/Retail,PLOT 38 RD ASABAHA ASABAHA,AWUTU SENYA,Central
906,PC/BA/WR/0154P,DM SPHERE PHARMACY LTD,Wholesale/Retail,H/NO. TMA 3012 - TAKO TECHIMAN,TECHIMAN,Brong Ahafo
907,PC/ER/WR/0160M,DOC & SONS PHARMACY LTD,Wholesale/Retail,H/NO. OG/B44 KOVOC SCHOOL ROAD OGUAA KOFORIDUA,NEW-JUABENG,Eastern
908,PC/GR/R/00929,DODOWA PHARMACY (MARKET.,DRe. tBaRil.),"H/NO. ND 146,  OPP DISTRICT HOSP, - NEW DODOWA",SHAI-OSUDOKU,Greater Accra
909,PC/GR/WR/00287,DODOWA PHARMACY LTD.,Wholesale/Retail,"H/NO. ND 146 DODOWA ACCRA, MAIN ROAD NEW DODOWA
ACCRA",SHAI-OSUDOKU,Greater Accra
910,PC/GR/R/0405H,DOEFAM PHARMACY,Retail,"UNNUMBERED HOUSE GBETSILE ROAD (FANCY ROAD) PURE
OIL STATION (SANKO STATION) SANKO",KPONE KATAMANSO,Greater Accra
911,PC/NR/W/00011,DOKULOKU PHARMACY,Wholesale,UNN. SHOP OLD TAMALE MARKET. KAKPAADULI TAMALE,TAMALE,Northern
912,PC/GR/R/0405L,DOM V. PHARMACY LTD,Retail,GW-0156-7732 ELEPHANT STREET - AMASAMAN OBEYEYIE,GA WEST,Greater Accra
913,PC/NR/WR/0129M,DOMEDERY PHARMACY,Wholesale/Retail,H/NO. WB 233 BOLGA ROAD NAYIRIFONGU WALEWALE,WEST MAMPRUSI,Northern
914,PC/VR/R/0233P,DOMINGO PHARMACY LTD,Retail,VZ-00027-5633 JEA MILLS HIGH STREET - AFLAO-VIEPE,KETU SOUTH,Volta
915,PC/AS/R/0198K,DOMINION GRACE PHARMACY,Retail,"PLOT 5, BLOCK K - - DOMPAASE",BOSOMTWE,Ashanti
916,PC/AS/R/0112N,DOMINO PHARMACY LTD,Retail,AK-415-2666 - ASUOYEBOAH KUMASI,KMA,Ashanti
917,PC/BA/R/00004,DONATUS PHARMACY,Retail,H/NO. L 136/2 MAGAZINE ROAD - TECHIMAN,TECHIMAN,Brong Ahafo
918,PC/CR/R/0086M,DONMORSH PHARMACY LTD,Retail,H/NO. AYN 28/13 PENTECOST HOSPITAL ROAD - AYANFURI,UPPER DENKYIRA-WEST,Central
919,PC/AS/WR/0544L,DONNA CARE PHARMACY LTD,Wholesale/Retail,PLOT 9 NEAR AGLICAN SCHOOL TANOSO KUMASI,KMA,Ashanti
920,PC/BA/R/0220P,DONSAM PHARMACY LTD,Retail,H/NO. MM/MA/37 HIGH STREET ABROMAN MIM,ASUNAFO NORTH,Brong Ahafo
921,PC/GR/WR/00224,DONTWE CHEMISTS LTD.,Wholesale/Retail,"H/NO. 325, BLK W4 - KWASHIMAN BU ACCRA",GA SOUTH,Greater Accra
922,PC/GR/R/00411,DORAT PHARMACY LTD,Retail,"UNN. HOUSE, DODOWA ROAD, ASHIYIE ACCRA",GA EAST,Greater Accra
923,PC/GR/R/0065D,DORDAN PHARMACY LTD,Retail,H/NO 159/4 AGBOBA-MADINA ROAD AGBOGBA AGBOBA,GA EAST,Greater Accra
924,PC/GR/R/0453P,DOSH CHEMIST LTD.,Retail,10 MIREKU WE ST. GA-504-4280 DANSOMAN,AMA,Greater Accra
925,PC/GR/R/00893,DOSTY PHARMACY,Retail,"H/NO. SS 205, KORLEKI PLAZA, SEBREPOR MICHEL CAMP",TMA,Greater Accra
926,PC/GR/R/0161B,DOSTY PHARMACY,Retail,"JUNIC HOUSE, REV. FIAWOO STREET, COMM. 6, TEMA",TMA,Greater Accra
927,PC/GR/R/0167F,DOSTY PHARMACY,Retail,"H/NO. 46, EAST LEGON, ACCRA - LEGON LEGON-ACCRA",AMA,Greater Accra
928,PC/GR/WR/0131K,DOSTY PHARMACY,Wholesale/Retail,SHOP NO. 5 AFLAO ROAD AMACO PLAZA DAWHENYA,NINGO PRAMPRAM,Greater Accra
929,PC/GR/R/00833,DOSTY PHARMACY CO. LTD.,Retail,"OLIKS HSE, FIRST LINK MEDASS RD, COMMUNITY 11, TEMA",TMA,Greater Accra
930,PC/GR/R/0051P,DOSTY PHARMACY LTD,Retail,VC/MKT/A/93 KAKUE ROAD COMMONITY 1 TEMA,TMA,Greater Accra
931,PC/GR/R/0350P,DOSTY PHARMACY LTD,Retail,GA-092-0307 SWANIKER ROAD - ABELENKPE,AMA,Greater Accra
932,PC/GR/R/0089H,DOSTY PHARMACY LTD,Retail,H/NO. R/Q/53 CPT HILBERT NORTEY STREET KPONE TEMA,TMA,Greater Accra
933,PC/GR/R/0193P,DOT PHARMACY LTD,Retail,"H/NO. E 193, GD-368-2024 KANGAROO STREET - EAST
AMRAHIA",ADENTAN,Greater Accra
934,PC/GR/R/0121A,DOUBLE PLUS TWO PHARMACY,Retail,H/NO. 4 COSTWAY ROAD RITZ JUNCTION ACCRA,ADENTAN,Greater Accra
935,PC/AS/WR/0332H,DOUGINAS PHARMACY COMPAN,WLThDolesale/Retail,PLOT E 13 BLOCK S LORRY STATION AHENKRO,AFIGYA-KWABRE,Ashanti
936,PC/AS/R/0179G,DOUGINAS PHARMACY LTD,Retail,H/NO. 11 - - AKYEREMADE,ATWIMA KWANWOMA,Ashanti
937,PC/GR/WR/00042,DOVE PHARMACY,Wholesale/Retail,H/NO D774/3 KIMBERLEY AVENUE OKAISHIE ACCRA,AMA,Greater Accra
938,PC/NR/R/0143G,DOXA CHEMISTS LTD,Retail,"H/NO. DK 128, DABOKPA - TAMALE TAMALE",TAMALE,Northern
939,PC/GR/R/0011J,DOXAPLUS SERVICES LIMITED,Retail,H/NO. J-27 BOADE AVENUE BOADE NUNGUA,LEDZOKUKU-KROWOR,Greater Accra
940,PC/GR/W/0429P,DPS GMBH LTD,Wholesale,H/NO. 2 NUNGUA BANK ROAD BAATSONA SPINTEX,TMA,Greater Accra
941,PC/BA/R/0145P,DREAMFIELD PHARMACY LTD,Retail,H/NO. E155/2 - NANA SOSOMA-AREA 2 SUNYANI,SUNYANI,Brong Ahafo
942,PC/GR/R/0387L,DREAMLAND PHARMACY,Retail,H/NO. 88/1 BB'S LANE ZONGO MADINA,LA NKWANTANANG-MADINA,Greater Accra
943,PC/GR/WR/0226L,DREWS PHARMACY LIMITED,Wholesale/Retail,GA-392-6314 NEW MARKET ROAD LAPAZ ACCRA,AMA,Greater Accra
944,PC/GR/R/0135K,DROP-IN COMPANY LTD. (PHARM,RCeYt a&il HEALTH),GN-0871-9377 CASILDA ESTATE MATEHEKO AFIENYA,NINGO PRAMPRAM,Greater Accra
945,PC/GR/R/0057L,DRUGBANK PHARMACY LTD,Retail,"H/NO. 256/7 KING KOTEY ROAD, TESHIE",LEDZOKUKU-KROWOR,Greater Accra
946,PC/AS/WR/0111J,DRUGGS AND SURGICALS LTD,Wholesale/Retail,PLOT E 01 - MAIN HIGHWAY PAKYI NO. 1,AMANSIE WEST,Ashanti
947,PC/GR/W/0213N,DRUGIX PHARMACEUTICALS LTD,Wholesale,"FIRST FLOOR STATION ROAD, UMB OKAISHIE ACCRA",AMA,Greater Accra
948,PC/GR/R/0377L,DRUGIX PHARMACY,Retail,"SHOP 5, OYARIFA MALL OYARIFA",ADENTAN,Greater Accra
949,PC/GR/R/0235J,DRUGIX PHARMACY,Retail,H/NO. 5 NII NORTEI NYACHI STREET DZORWULU ACCRA,AMA,Greater Accra
950,PC/GR/R/0140M,DRUGIX PHARMACY LIMITED,Retail,"ALLIANCE SHELL SERVICE STATION CASELY HAYFORD ROAD -
AIRPORT WEST",AMA,Greater Accra
951,PC/ER/W/00008,DRUGRITE PHARMACY LTD.,Wholesale,ANTARTIC PLAZA RESIDENCY ROAD - KOFORIDUA,NEW-JUABENG,Eastern
952,PC/GR/R/0006L,DSM GET WELL PHARMACY LTD,Retail,"PLOT 14, GOLF CITY",KPONE KATAMANSO,Greater Accra
953,PC/BA/WR/0280K,DUNA PHARMACY LTD,Wholesale/Retail,H/NO. CH/ST/10-11 DR. OBOUR BAFFOUR LINK - GOASO,ASUNAFO NORTH,Brong Ahafo
954,PC/GR/W/00234,DUNIA PHARMACY,Wholesale,H/NO. OS 02094 CENTRAL MOSQUE TUDU ACCRA,AMA,Greater Accra
955,PC/GR/R/0005G,DZOFAM PHARMARCY LTD.,Retail,"HNO. PLOT 21 GOLF HILLS, CHRISTIAN VILLAGE, ACHIMOTA
ACCRA",GA EAST,Greater Accra
956,PC/GR/W/0193L,DZOMOKO MEDICAL & PHARMAC,WUhTIoCleAsLaSl eLTD,"NSAWAM HIGHWAY NEAR DZOMOKO ENGINEERING
SERVICES MEDIE",GA WEST,Greater Accra
957,PC/AS/R/0189K,E  AND E 247 PHARMACY LTD,Retail,"H/NO. 15 BLOCK G,  -BROFOYEDRU KENYASE",KWABERE EAST,Ashanti
958,PC/AS/WR/0091D,E & G PHARMACY LTD.,Wholesale/Retail,"H/NO. 465, AGOGO",ASANTE AKIM NORTH,Ashanti
959,PC/WR/R/0195L,E-NARK PHARMACY LTD,Retail,"PLOT 9, RACE COURCE",SEKONDI-TAKORADI,Western
960,PC/GR/R/0522L,E. A. EXPRESS PHARMACY LIMITE,Retail,"H/NO. 8882/23 LAKE POOL STREET - ABLEKUMA-
BOKORBOKOR",GA CENTRAL,Greater Accra
961,PC/VR/WR/0133F,E. K PHARMACY,Wholesale/Retail,"AGBOZUME MKT. & BANK, ACCRA-AFLAO RD, - KLIKOR
AGBOZUME",KETU SOUTH,Volta
962,PC/AS/R/00306,E.A.K. PHARMACY,Retail,"PLT. 4, BLOCK VII - AYEDUASE-BOADI RD KUMASI",KMA,Ashanti
963,PC/GR/R/0250K,E.M'S PHARMACY & HEALTH MAR,R LeItMaiIlTED,H/NO. F 341/4 DADEBU ROAD NYANIBA ESTATE OSU,SHAI-OSUDOKU,Greater Accra
964,PC/GR/R/0054N,EARLYCARE PHARMACY LTD,Retail,GZ067-7916 BOADE STREET - NUNGUA,LA NKWANTANANG-MADINA,Greater Accra
965,PC/GR/R/00383,EAST AIRPORT PHARMACY,Retail,"NO. 2 AVIATION ROAD OKPOI GONNO, EAST AIRPORT ACCRA",AMA,Greater Accra
966,PC/GR/R/0351L,EAST AMRAHIA PHARMACY LIMIT,RDetail,"GD-266-5711, EAST AMRAHIA",ADENTAN,Greater Accra
967,PC/GR/W/0080M,EAST CANTOMENTS PHARMACY L,MWIhToElDesale,GT 373411 TEXPO ROAD - SPINTEX,LA NKWANTANANG-MADINA,Greater Accra
968,PC/GR/W/0144K,EAST CANTONEMENTS PHARMAC,Wholesale,"H/NO. 100, NEW BORTIANOR",GA SOUTH,Greater Accra
969,PC/WR/W/0116B,EAST CANTONMENT PHARMACY,Wholesale,"H/NO. 32/7, LIBERATION ROAD, TAKORADI H/NO. 32/7,
LIBERATION ROAD - TAKORADI",SEKONDI-TAKORADI,Western
970,PC/WR/R/0081K,EAST CANTONMENT PHARMACY,Retail,"COLLINS AVENUE-GROOVY SPOT, MARKET CIRCLE COLLINS
AVENUE-GROOVY SPOT, MARKET CIRCLE TAKORADI
TAKORADI",SEKONDI-TAKORADI,Western
971,PC/GR/W/00246,EAST CANTONMENTS P'CY (ANNE,W)holesale,"VERTICAL PLAZA,  COMMUNITY 5, TEMA",TMA,Greater Accra
972,PC/ER/WR/0155L,EAST CANTONMENTS PHARMACT,LWTDholesale/Retail,KASAGYAN ROAD - SSNIT JUNCTION  KOFORIDUA EFFIDUASE,NEW-JUABENG,Eastern
973,PC/GR/WR/00043,EAST CANTONMENTS PHARMACY,Wholesale/Retail,H/NO. 123 GIFFARD ROAD EAST CANTOMENTS ACCRA,AMA,Greater Accra
974,PC/GR/IW/00176,EAST CANTONMENTS PHARMACY,Importing Wholes,Hle/NO. 115 KWAME NKRUMAH AVENUE - ACCRA,AMA,Greater Accra
975,PC/GR/R/0077D,EAST CANTONMENTS PHARMACY,Retail,PLOT 49 OSU BADU STREET WEST AIRPORT ACCRA,AMA,Greater Accra
979,PC/GR/R/0040L,EAST CANTONMENTS PHARMACY,Retail,DR.K A BUSIA STREET MALLAM MARKET SAKAMAN JUNCTION,GA SOUTH,Greater Accra
980,PC/GR/W/0022F,EAST CANTONMENTS PHARMACY,Wholesale,"PLOT 398, NORTH LEGON RESIDENTIAL AREA. PLOT 398,
NORTH LEGON RESIDENTIAL AREA. - LEGON-ACCRA",AMA,Greater Accra
981,PC/AS/W/00059,EAST CANTONMENTS PHARMACY,Wholesale,"H/NO. BH2, ASAFO",KMA,Ashanti
982,PC/BA/WR/284K,EAST CANTONMENTS PHARMACY,Wholesale/Retail,"H/NO. NN-A-1H-090, NKWANBENG GOZOKROM",SUNYANI,Brong Ahafo
983,PC/GR/R/0067N,EAST CANTONMENTS PHARMACY,LRIeMtaITilED,H/NO. 22A BAATSONA ROAD - SPINTEX,LA NKWANTANANG-MADINA,Greater Accra
984,PC/GR/R/0070N,EAST CANTONMENTS PHARMACY,LRIeMtaITilED,H/NO. 11A OXFORD STREET NEAR PHOTO CLUB OSU,AMA,Greater Accra
985,PC/GR/R/0216N,EAST CANTONMENTS PHARMACY,LRIeMtaITilED,"SHOP 2 & 3 (ATU) AMU WRIST BERG ROAD ACCRA TECHNICAL
UNIVERSITY TUDU",AMA,Greater Accra
986,PC/GR/W/0250P,EAST CANTONMENTS PHARMACY,LWIMhoITleEsDale,"GS-0391-8157 barima service station NEr interchange
MALLAM",GA SOUTH,Greater Accra
987,PC/GR/R/0291P,EAST CANTONMENTS PHARMACY,LRTeDtail,SHOP 2 - COMMUNITY 12 TEMA,TMA,Greater Accra
988,PC/GR/R/0149K,EAST CANTONMENTS PHARMACY,LRTeDtail,"H/NO. 33A NEAR ORCA DECO & FURNITURE CITY SPINTEX
ACCRA",LEDZOKUKU-KROWOR,Greater Accra
989,PC/GR/R/0164K,EAST CANTONMENTS PHARMACY,LRTeDtail,H/NO. 289/16 1ST SOULA STREET - LABONE ESTATE,LA NKWANTANANG-MADINA,Greater Accra
990,PC/GR/R/0012C,EAST CANTONMENTS PHARMACY,LRTeDta. il,"H/NO. 155, AMERICA HOUSE EAST LEGON ACCRA",AMA,Greater Accra
991,PC/GR/R/0075M,EAST ORANGE PHARMACY LTD,Retail,"H/NO. 5, PLOT 767 MENSAH WOOD AVENUE - EAST LEGON",AMA,Greater Accra
992,PC/ER/WR/00002,EASTERN CHEMISTS LTD.,Wholesale/Retail,H/NO. NK/B37 BROADWAY STREET NSUKWAO KOFORIDUA,NEW-JUABENG,Eastern
993,PC/NR/R/0097K,EASTERN CORRIDOR PHARMACY,Retail,"H/NO. SK-B2 HOSPITAL ROAD OPP. BIMBILLA HOSPITAL
BIMBILLA",NANUMBA NORTH,Northern
994,PC/AS/W/0549L,EASYWAY PHARMACY LIMITED,Wholesale,"H/NO. O. T. B. 592, ADUM PAMPASO",KMA,Ashanti
995,PC/NR/WR/0040B,EB PHARMACEUTICAL LTD.,Wholesale/Retail,H/NO. E. 539 HOSPITAL ROAD DAGANGFONG TAMALE,TAMALE,Northern
996,PC/WR/WR/0361H,EBENBETH PHARMACY,Wholesale/Retail,H/NO. 18A - - SHAMA JUNCTION,SHAMA,Western
997,PC/AS/R/0199K,ECCLESIA HILL PHARMACY,Retail,"H/NO. ST 1 OLD ESTATE ROAD NEAR LENCLEY STADIUM
OBUASI",OBUASI,Ashanti
998,PC/AS/WR/0565L,ECO CARE PHARMACY LTD,Wholesale/Retail,"PLOT 95, TEPA",AHAFO-ANO NORTH,Ashanti
999,PC/VR/WR/0456L,ED-TRUST PHARMACY LTD,Wholesale/Retail,H/NO. ANL/D - ANLOTO AGOTIME KPETOI,AGOTIME ZIOPE,Volta
1000,PC/GR/R/0225L,EDCARE PHARMACY LIMITED,Retail,PLOT LR 158 - LAKESIDE ESTATES ASHALEY BOTWE,ADENTAN,Greater Accra
1001,PC/GR/R/00687,EDD EDDY PHARMACY,Retail,"H/NO. J 42/4, 39 H/NO. J 42/4, 39 NAUTICAL ROAD NUNGUA
SHS NUNGUA",LEDZOKUKU-KROWOR,Greater Accra
1002,PC/GR/R/0337P,EDD EDDY PHARMACY,Retail,"BANK STREET, NUNGUA",LA NKWANTANANG-MADINA,Greater Accra
1003,PC/GR/W/0387P,EDDY-KAY CHEMIST LIMITED,Wholesale,"H/NO. 52, ELEPHANT STREET - AMASAMAN",GA WEST,Greater Accra
1004,PC/WR/WR/00025,EDDYAMPS PHARMACY LTD.,Wholesale/Retail,H/NO. 3/9  SAWMILL TAKORADI,SEKONDI-TAKORADI,Western
1005,PC/WR/R/0033M,EDDYAMYS PHARMACY LTD,Retail,STORE 1 - APREMDO TAKORADI,SEKONDI-TAKORADI,Western
1006,PC/ER/WR/0352J,EDDYJOY PHARMACY LTD,Wholesale/Retail,PLOT NO. K2 ADARKWA ROAD KIBI STATION SUHUM,SUHUM,Eastern
1007,PC/WR/WR/0191L,EDDYMANUEL PHARMACY,Wholesale/Retail,STORE NO 1 & 2 - ANAJI TAKORADI,SEKONDI-TAKORADI,Western
1008,PC/WR/R/0352H,EDDYMMANUEL PHARMACY LIMI,REeDtail,AIRFORCE BASE TAKORADI,SEKONDI-TAKORADI,Western
1009,PC/GR/WR/0072N,EDEN PHARMA LIMITED,Wholesale/Retail,GW-0799-1985 - NEAR SENIOR HIGH SCHOOL ADJEN KOTOKU,GA WEST,Greater Accra
1010,PC/GR/R/0443K,EDEN ROYAL PHARMACY,Retail,H/NO. 921/25 - NYAMEKYE DARKUMAN,GA CENTRAL,Greater Accra
1011,PC/GR/R/0076G,EDEN ROYAL PHARMACY LTD.,Retail,"H/NO. 857, TRANSFORMER STRRET, SOWUTUOM ACCRA",GA CENTRAL,Greater Accra
1012,PC/GR/R/00764,EDIESTAL PHARMACY LTD.,Retail,H/NO. 36 AGORO STREET DANSOMAN RUSSIA ACCRA,AMA,Greater Accra
1013,PC/AS/WR/00080,EDIKAY PHARMACY,Wholesale/Retail,H/NO. K.O.97 ODUMASE STREET ASH TOWN KUMASI,KMA,Ashanti
1014,PC/GR/R/0164F,EDIVADE PHARMACY LTD.,Retail,"H/NO. 49A, MANET JUNCTION SPINTEX ROAD - OKPOI-GONO",LEDZOKUKU-KROWOR,Greater Accra
1015,PC/GR/R/00246,EDJOE PHARMACY,Retail,"H/NO. TH/109, ACHIMOTA-NSAWAM RD,  TAIFA JXN.",GA EAST,Greater Accra
1016,PC/UER/R/0010D,EDMIDA PHARMACY LTD,Retail,"B 162, STADIUM RD, DAPORITINDONGO BOLGATANGA",BOLGATANGA,Upper East
1017,PC/GR/R/0537K,EDRITA PHARMACY,Retail,GE-143-2403 - - OYARIFA,ADENTAN,Greater Accra
1018,PC/WR/WR/0233M,EDRON PHARMACY,Wholesale/Retail,H/NO. NT 137 AFRICANA AVENU - TARKWA,TARKWA-NSUAEM,Western
1019,PC/AS/R/0090N,EDUFF PHARMACY LTD,Retail,"PLOT D, MF 2 NEW ROAD - DRABONSO",SEKYERE AFRAM PLAINS,Ashanti
1020,PC/AS/R/00155,EDWINY PHARMACY LTD.,Retail,H/NO. BLOCK - AHODWO KUMASI,KMA,Ashanti
1021,PC/CR/R/0445L,EDZIEBA PHARMACY,Retail,H/O. 7 MANDELLA ROAD - AGONA SWEDRU,AGONA WEST,Central
1022,PC/CR/W/0076P,EDZIEBA PHARMACY LTD,Wholesale,"H/NO. BA 332, AGONA SWEDRU",GOMOA WEST,Central
1023,PC/WR/R/00019,EFF-ESS PHARMACY,Retail,"H/NO. 3/4, LIBERATION ROAD, TAKORADI TAKORADI",SEKONDI-TAKORADI,Western
